1	0	0	1	3
2	0	0	1	13
3	0	0	2	3
4	0	0	3	2
5	0	1	4	1
6	0	1	5	2
7	0	1	16	1
8	0	1	16	14
9	0	1	8	3
10	0	1	19	13
11	0	1	20	2
12	0	1	21	13
13	0	1	21	14
14	0	1	15	13
15	0	2	5	1
16	0	2	6	3
17	0	2	17	14
18	0	2	9	14
19	0	2	19	2
20	0	2	20	2
21	0	2	10	13
22	0	2	11	1
23	0	2	11	14
24	0	2	12	1
25	0	2	15	1
26	0	3	4	2
27	0	3	4	3
28	0	3	5	3
29	0	3	6	3
30	0	3	19	14
31	0	3	20	2
32	0	3	12	3
33	0	3	21	2
34	0	3	21	13
35	0	3	22	14
36	0	3	18	13
37	0	13	6	1
38	0	13	7	14
39	0	13	8	14
40	0	13	9	2
41	0	13	9	3
42	0	13	20	1
43	0	13	20	2
44	0	13	20	3
45	0	13	10	1
46	0	13	12	13
47	0	13	21	13
48	0	13	22	13
49	0	14	4	14
50	0	14	5	1
51	0	14	5	2
52	0	14	16	1
53	0	14	19	13
54	0	14	10	13
55	0	14	10	14
56	0	14	21	3
57	0	14	22	1
58	0	14	22	14
59	0	14	15	2
60	0	14	18	3
61	4	4	16	6
62	4	4	17	19
63	4	5	5	7
64	4	6	4	21
65	4	6	6	18
66	4	6	17	17
67	4	6	8	5
68	4	6	12	16
69	4	6	18	21
70	4	7	7	19
71	4	7	19	11
72	4	8	17	6
73	4	8	20	10
74	4	8	12	20
75	4	8	21	7
76	4	9	17	20
77	4	9	9	20
78	4	19	7	22
79	4	19	12	7
80	4	19	22	15
81	4	20	9	6
82	4	10	6	6
83	4	10	8	10
84	4	11	6	9
85	4	11	16	17
86	4	11	21	11
87	4	11	22	12
88	4	12	4	15
89	4	12	16	18
90	4	12	10	22
91	4	21	8	11
92	4	21	9	20
93	4	21	9	10
94	4	21	10	15
95	4	21	11	17
96	4	15	15	7
97	4	18	10	9
98	4	18	12	21
99	4	18	15	16
100	4	18	18	15
101	5	5	11	20
102	5	5	11	22
103	5	5	22	9
104	5	5	18	16
105	5	6	10	20
106	5	16	7	21
107	5	16	9	21
108	5	16	10	20
109	5	16	22	8
110	5	17	20	11
111	5	17	11	20
112	5	7	12	9
113	5	7	12	22
114	5	8	17	10
115	5	8	19	11
116	5	8	11	8
117	5	8	18	22
118	5	9	7	15
119	5	19	22	11
120	5	20	21	18
121	5	10	17	18
122	5	12	16	22
123	5	12	17	9
124	5	12	12	20
125	5	21	11	18
126	5	21	15	20
127	5	22	17	16
128	5	22	9	15
129	5	22	10	7
130	5	22	12	21
131	5	15	16	12
132	5	15	11	17
133	5	18	17	22
134	5	18	8	10
135	5	18	10	7
136	5	18	22	12
137	6	6	12	19
138	6	16	16	7
139	6	16	16	8
140	6	16	16	11
141	6	16	9	15
142	6	16	20	16
143	6	16	22	11
144	6	16	15	15
145	6	17	7	10
146	6	7	6	11
147	6	7	6	18
148	6	7	7	17
149	6	7	20	11
150	6	9	16	8
151	6	9	10	18
152	6	19	8	8
153	6	19	8	9
154	6	19	18	22
155	6	10	19	19
156	6	10	19	11
157	6	10	18	19
158	6	12	19	22
159	6	12	21	16
160	6	21	15	15
161	6	22	16	12
162	6	22	17	12
163	6	18	20	8
164	6	18	10	22
165	16	17	7	10
166	16	17	10	21
167	16	8	7	7
168	16	9	8	20
169	16	9	9	15
170	16	19	10	21
171	16	19	12	22
172	16	19	15	8
173	16	20	20	20
174	16	20	11	12
175	16	10	19	15
176	16	11	19	9
177	16	12	17	10
178	16	21	11	22
179	16	21	21	20
180	16	22	19	22
181	16	15	8	22
182	16	15	19	8
183	17	17	9	21
184	17	7	18	19
185	17	8	9	11
186	17	8	21	21
187	17	9	15	19
188	17	19	17	15
189	17	19	7	9
190	17	19	22	9
191	17	20	7	7
192	17	20	20	12
193	17	10	8	19
194	17	11	15	8
195	17	11	15	18
196	17	11	18	20
197	17	12	8	18
198	17	12	9	21
199	17	12	12	12
200	17	21	9	7
201	17	22	15	21
202	17	22	18	19
203	17	15	11	9
204	17	15	11	21
205	17	15	22	7
206	17	15	18	15
207	7	7	18	19
208	7	8	9	18
209	7	8	21	20
210	7	19	8	9
211	7	19	22	20
212	7	20	7	22
213	7	10	21	21
214	7	11	7	12
215	7	11	10	18
216	7	11	18	15
217	7	12	9	20
218	7	22	10	11
219	7	15	8	10
220	7	18	8	22
221	7	18	15	15
222	7	18	15	18
223	8	8	11	18
224	8	8	12	19
225	8	8	22	20
226	8	19	9	20
227	8	19	11	11
228	8	10	9	21
229	8	12	19	18
230	8	12	22	21
231	8	21	11	12
232	8	21	11	15
233	9	9	9	12
234	9	19	22	10
235	9	10	19	10
236	9	10	19	12
237	9	10	11	20
238	9	11	10	22
239	9	12	20	18
240	9	12	15	20
241	9	21	19	15
242	9	21	10	15
243	19	20	20	11
244	19	20	12	21
245	19	10	18	12
246	19	15	22	18
247	20	20	15	18
248	20	10	11	10
249	20	11	10	15
250	20	12	22	15
251	10	10	18	21
252	10	11	21	11
253	11	21	22	12
254	12	22	15	22
255	12	18	22	18
256	21	18	15	18
